id,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width
3,4.7,3.2,1.3,0.2
8,5,3.4,1.5,0.2
9,4.4,2.9,1.4,0.2
17,5.4,3.9,1.3,0.4
18,5.1,3.5,1.4,0.3
29,5.2,3.4,1.4,0.2
32,5.4,3.4,1.5,0.4
36,5,3.2,1.2,0.2
38,4.9,3.6,1.4,0.1
53,6.9,3.1,4.9,1.5
74,6.1,2.8,4.7,1.2
77,6.8,2.8,4.8,1.4
85,5.4,3,4.5,1.5
86,6,3.4,4.5,1.6
87,6.7,3.1,4.7,1.5
89,5.6,3,4.1,1.3
92,6.1,3,4.6,1.4
99,5.1,2.5,3,1.1
104,6.3,2.9,5.6,1.8
112,6.4,2.7,5.3,1.9
117,6.5,3,5.5,1.8
122,5.6,2.8,4.9,2
130,7.2,3,5.8,1.6
132,7.9,3.8,6.4,2
140,6.9,3.1,5.4,2.1
142,6.9,3.1,5.1,2.3
144,6.8,3.2,5.9,2.3
